540_Names,Very_large,Large,Medium,Order,Full_Tree,PR_endemic,FLEPPCall_2017,NonNative,Full_Tree,Florida,USCan_notFL,Caribbean, Central_America,South_America,Europe ,Africa,Asia ,Australasia,Oceania
Croton_linearis,7,7,9,30,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Cyanthillium_cinereum,6,6,6,19,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Cynanchum_blodgetti,6,6,8,23,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Cynodon_dactylon,4,4,4,14,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Cyperus_filiculmis,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Cyperus_filiformis,4,4,4,14,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Cyperus_ligularis,4,4,4,14,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Cyperus_ovatus,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Cyperus_retrorsus,4,4,4,14,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Cyrtopodium_punctatum,4,4,4,10,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Dalbergia_sissoo,7,7,9,28,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Dalea_carnea,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Dalea_carthagenesis_v._floridana,7,7,9,28,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Delonix_regia,7,7,9,28,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Desmanthus_virgatus,7,7,9,28,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Desmodium_floridanum,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Desmodium_incanum_A02,7,7,9,28,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Desmodium_lineatum,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Desmodium_marilandicum,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Desmodium_paniculatum,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Desmodium_strictum,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Desmodium_triflorum,7,7,9,28,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Dichanthelium_aciculare,4,4,4,14,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Dichanthelium_commutatum,4,4,4,14,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Dichanthelium_dichotomum,4,4,4,14,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Dichanthelium_ensifolium,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Dichanthelium_ovale,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Dichanthelium_portoricense,4,4,4,14,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Dichanthelium_strigosum_v._glabrescens,4,4,4,14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Digitaria_ciliaris,4,4,4,14,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
Digitaria_filiformis_v._dolchophylla,4,4,4,14,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Diodia_teres,6,6,8,23,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Dioscorea_alata,4,4,4,12,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Dioscorea_bulbifera,4,4,4,12,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
