Names,SoFla_endemic,PR_endemic,FLEPPCall_2017,Native,NonNative
Hamelia_patens,0,0,0,1,0
Hedyotis_procumbens,0,0,0,1,0
Helenium_flexuosum,0,0,0,1,0
Helianthemum_corymbosum,0,0,0,1,0
Heliotropium_angiospermum,0,0,0,1,0
Heliotropium_polyphyllum,0,0,0,1,0
Herissantia_crispa,0,0,0,1,0
Heteropogon_contortus,0,0,0,0,1
Heterotheca_subaxillaris,0,0,0,1,0
Hieracium_megacephalon,0,0,0,1,0
Houstonia_procumbens,0,0,0,1,0
Hypelate_trifoliata,0,0,0,1,0
Hypericum_hypericoides,0,0,0,1,0
Hypoxis_sessilis,0,0,0,1,0
Hypoxis_sp.,0,0,0,1,0
Hyptis_alata,0,0,0,1,0
Ilex_cassine,0,0,0,1,0
Ilex_krugiana,0,0,0,1,0
Imperata_brasilensis,0,0,1,0,0
Indigofera_hirsuta,0,0,0,0,1
Indigofera_miniata_v._floridana,0,0,0,1,0
Indigofera_suffruticosa,0,0,0,0,1
Ipomoea_cordatotriloba,0,0,0,1,0
Ipomoea_hederifolia,0,0,0,1,0
Ipomoea_indica,0,0,0,1,0
Ipomoea_microdactyla,0,0,0,1,0
Ipomoea_sagittata,0,0,0,1,0
Ipomoea_tenuissima,0,0,0,1,0
Iresine_diffusa,0,0,0,1,0
Jacquemontia_curtisii_F08,1,0,0,1,0
Jacquemontia_pentathos,0,0,0,1,0
Jacquinia_keyensis,0,0,0,1,0
Jasminum_dichotomum,0,0,1,0,1
Jasminum_fluminense,0,0,1,0,1
Juncus_megacephalus,0,0,0,1,0
Juniperus_virginiana,0,0,0,0,1
Justicia_angusta,0,0,0,1,0
Kalanchoe_daigremontiana,0,0,0,0,1
Kalanchoe_pinnata,0,0,1,0,1
Kigelia_pinnata,0,0,0,0,1
Koanophyllon_villosum,0,0,0,1,0
Lactuca_graminifolia,0,0,0,1,0
Lantana_camara,0,0,1,0,1
Lantana_canescens,0,0,0,1,0
Lantana_depressa,1,1,0,1,0
Lantana_involucrata,0,0,0,1,0
Lechea_deckertii,0,0,0,1,0
Lechea_sessiliflora,0,0,0,1,0
Lechea_torreyi,0,0,0,1,0
Leucaena_leucocephala,0,0,1,0,1
Leucothrinax_morrisii,0,0,0,1,0
Liatris_chapmanii,0,0,0,1,0
Liatris_gracilis,0,0,0,1,0
Liatris_tenuifolia,0,0,0,1,0
Licania_michauxiana,0,0,0,1,0
Lindernia_dubia,0,0,0,1,0
Linum_arenicola,1,0,0,1,0
Linum_carteri,1,1,0,1,0
Linum_medium,0,0,0,1,0
Lobelia_glandulosa,0,0,0,1,0
Lobelia_paludosa,0,0,0,1,0
Ludwigia_curtissii,0,0,0,1,0
Ludwigia_microcarpa,0,0,0,1,0
Lygodium_japonicum,0,0,1,0,1
Lyonia_fruticosa,0,0,0,1,0
Lysiloma_latisiliquum,0,0,0,1,0
Lysiloma_sabicu,0,0,0,0,1
Macroptilium_atropurpureum,0,0,0,0,1
Macroptillum_lathyroides,0,0,1,0,1
Manilkara_jaimiqui,0,0,0,1,0
Mecardonia_acuminata_ssp._peninsularis,0,0,0,1,0
Melaleuca_quinquenervia,0,0,1,0,1
Melaleuca_viminalis,0,0,0,0,1
Melanthera_nivea,0,0,0,1,0
Melanthera_parvifolia,1,0,0,1,0
Melia_azedarach,0,0,1,0,1
Melinis_minutiflora,0,0,1,0,1
Melinis_repens,0,0,1,0,1
Melochia_tomentosa,0,0,0,1,0
Melothria_pendula,0,0,0,1,0
Merremia_dissecta,0,0,0,0,1
Metopium_toxiferum,0,0,0,1,0
Mikania_scandens,0,0,0,1,0
Mimosa_pudica,0,0,0,0,1
Mimosa_quadrivalvis,0,0,0,1,0
Mitreola_petiolata,0,0,0,1,0
Mitreola_sessilifolia,0,0,0,1,0
Momordica_charantia,0,0,1,0,1
Morinda_royoc,0,0,0,1,0
Mosiera_longipes,0,0,0,1,0
Mucuna_pruriens,0,0,0,0,1
Muhlenbergia_capillaris_B06,0,0,0,1,0
Myrcianthes_fragrans,0,0,0,1,0
Myrica_cerifera,0,0,0,1,0
Myrsine_cubana,0,0,0,1,0
Nephrolepis_exaltata,0,0,0,1,0
Neptunia_pubescens,0,0,0,1,0
Neyraudia_reynaudiana,0,0,1,0,1
Ocimum_campechianum,0,0,0,1,0
Oeceoclades_maculata,0,0,0,0,1
Opuntia_humifusa,0,0,0,1,0
Oxalis_corniculata,0,0,0,1,0
Pachyrhizus_erosus,0,0,0,0,1
Paederia_cruddasiana,0,0,1,0,1
Palafoxia_integrifolia,0,0,0,1,0
Panicum_maximum,0,0,0,0,1
Panicum_tenerum,0,0,0,1,0
Panicum_virgatum,0,0,0,1,0
Parietaria_floridana,0,0,0,1,0
Parthenocissus_quinquefolia,0,0,0,1,0
Paspalum_blodgettii,0,0,0,1,0
Paspalum_caespitosum,0,0,0,1,0
Paspalum_floridanum,0,0,0,1,0
Paspalum_laxum,0,0,0,1,0
Paspalum_monostychium,0,0,0,1,0
Paspalum_setaceum,0,0,0,1,0
Passiflora_biflora,0,0,1,0,1
Passiflora_suberosa,0,0,0,1,0
Pectis_glaucescens,0,0,0,1,0
Penstemon_multiflorus,0,0,0,1,0
Pentalinon_luteum,0,0,0,1,0
Persea_palustris,0,0,0,1,0
Phaseolus_polystachios,0,0,0,1,0
Phlebodium_aureum,0,0,0,1,0
Phyla_nodiflora,0,0,0,1,0
Phyla_stoechadifolia,0,0,0,1,0
Phyllanthus_caroliniensis_ssp._saxicola,0,0,0,1,0
Phyllanthus_pentaphyllus_v._floridana,1,0,0,1,0
Physalis_walteri,0,0,0,1,0
Physostegia_purpurea,0,0,0,1,0
Phytolacca_americana,0,0,0,1,0
Pilea_microphylla,0,0,0,1,0
Piloblephis_rigida,0,0,0,1,0
Pinguicula_pumila,0,0,0,1,0
Pinus_elliottii,0,0,0,1,0
Piriqueta_cistoides_ssp._caroliniana,0,0,0,1,0
Pithecellobium_keyense,0,0,0,1,0
Pityopsis_graminifolia,0,0,0,1,0
Pleopeltis_polypodioides_v._michauxiana,0,0,0,1,0
Pluchea_baccharis,0,0,0,1,0
Pluchea_carolinensis,0,0,0,0,1
Pluchea_odorata,0,0,0,1,0
Plumeria_obtusa,0,0,0,0,1
Poinsettia_cyathophora,0,0,0,1,0
Poinsettia_heterophylla,0,0,0,1,0
Poinsettia_pinetorum,1,1,0,1,0
Polanisia_tenuifolia,0,0,0,1,0
Polygala_balduinii,0,0,0,1,0
Polygala_boykinii,0,0,0,1,0
Polygala_incarnata,0,0,0,1,0
Polygala_violacea,0,0,0,1,0
Polygonella_ciliata,0,0,0,1,0
Polygonella_gracilis,0,0,0,1,0
Polygonella_polygama,0,0,0,1,0
Polypremum_procumbens,0,0,0,1,0
Pongamia_pinnata,0,0,0,0,1
Ponthieva_racemosa,0,0,0,1,0
Premna_odorata,0,0,0,0,1
Psidium_guajava,0,0,1,0,1
Psidium_longipes,0,0,0,1,0
Psilotum_nudum,0,0,0,1,0
Psychotria_ligustrifolia,0,0,0,1,0
Psychotria_nervosa,0,0,0,1,0
Psychotria_sulzneri,0,0,0,1,0
Pteridium_aquilinum_v._caudatum,0,0,0,1,0
Pteris_bahamensis,0,0,0,1,0
Pteris_vittata,0,0,1,0,1
Pteris_x_delchampsii,0,0,0,0,1
Pterocaulon_pycnostachyum,0,0,0,1,0
Pteroglossaspis_ecristata,0,0,0,1,0
Pueraria_montana,0,0,1,0,1
Quercus_minima,0,0,0,1,0
Quercus_pumila,0,0,0,1,0
Quercus_virginianus,0,0,0,1,0
Randia_aculeata,0,0,0,1,0
Rayjacksonia_phyllocephala,0,0,0,1,0
Reynosia_septentrionalis,0,0,0,1,0
Rhus_copallinum,0,0,0,1,0
Rhynchosia_cinerea,0,0,0,1,0
Rhynchosia_michauxii,0,0,0,1,0
Rhynchosia_minima,0,0,0,1,0
Rhynchosia_parvifolia,0,0,0,1,0
Rhynchosia_reniformis,0,0,0,1,0
Rhynchospera_floridensis,0,0,0,1,0
Rhynchospora_colorata,0,0,0,1,0
Rhynchospora_divergens,0,0,0,1,0
Rhynchospora_globularis,0,0,0,1,0
Rhynchospora_grayi,0,0,0,1,0
Rhynchospora_microcarpa,0,0,0,1,0
Rhynchospora_plumosa,0,0,0,1,0
Richardia_grandiflora,0,0,1,0,1
Richardia_scabra,0,0,0,0,1
Ricinus_communis,0,0,1,0,1
Rottboellia_cochinchinensis,0,0,0,0,1
Ruellia_succulenta,1,0,0,1,0
Russelia_equisetiformes,0,0,0,0,1
Sabal_etonia,0,0,0,1,0
Sabal_palmetto,0,0,0,1,0
Sabatia_stellaris,0,0,0,1,0
Sachsia_polycephala,0,0,0,1,0
Salix_caroliniana,0,0,0,1,0
Samolus_ebracteatus,0,0,0,1,0
Schefflera_actinophylla,0,0,1,0,1
Schinus_terebinthifolius,0,0,1,0,1
Schizachyrium_gracile,0,0,0,1,0
Schizachyrium_rhizomatum,0,0,0,1,0
Schizachyrium_sanguineum,0,0,0,1,0
Schoenus_nigricans,0,0,0,1,0
Schoepfia_chrysophylloides,0,0,0,1,0
Scleria_ciliata,0,0,0,1,0
Scleria_verticillata,0,0,0,1,0
Scutellaria_havanensis,0,0,0,1,0
Selaginella_armata_v._eatonii,0,0,0,1,0
Senna_ligustrina,0,0,0,1,0
Senna_mexicana_v._chapmanii,0,0,0,1,0
Serenoa_repens,0,0,0,1,0
Sericocarpus_tortifolius,0,0,0,1,0
Setaria_barbata,0,0,0,0,1
Setaria_parviflora,0,0,0,1,0
Seymeria_pectinata,0,0,0,1,0
Sida_acuta,0,0,0,1,0
Sida_elliottii,0,0,0,1,0
Sida_rhombifolia,0,0,0,1,0
Sideroxylon_reclinatum,1,0,0,1,0
Sideroxylon_salicifolium,0,0,0,1,0
Sisyrinchium_angustifolium,0,0,0,1,0
Sisyrinchium_nashii,0,0,0,1,0
Smilax_auriculata,0,0,0,1,0
Smilax_bona-nox,0,0,0,1,0
Smilax_havanensis,0,0,0,1,0
Smilax_laurifolia,0,0,0,1,0
Solanum_americanum,0,0,0,1,0
Solanum_chenopodioides,0,0,0,1,0
Solanum_donianum,0,0,0,1,0
Solidago_gigantea,0,0,0,1,0
Solidago_leavenworthii,0,0,0,1,0
Solidago_odora_v._chapmanii,0,0,0,1,0
Solidago_stricta,0,0,0,1,0
Solidago_tortifolia,0,0,0,1,0
Sorghastrum_secundum,0,0,0,1,0
Spermacoce_assurgens,0,0,0,1,0
Spermacoce_prostrata,0,0,0,1,0
Spermacoce_remota,0,0,0,1,0
Spermacoce_terminalis,1,0,0,1,0
Spermacoce_verticillata,0,0,1,0,1
Sphagneticola_trilobata,0,0,1,0,1
Spiranthes_torta,0,0,0,1,0
Sporobolus_clandestinus,0,0,0,1,0
Sporobolus_indicus,0,0,1,0,1
Sporobolus_junceus,0,0,0,1,0
Sporobolus_pyramidatus,0,0,0,0,1
Stachytarpheta_jamaicensis,0,0,0,1,0
Stenandrium_dulce,0,0,0,1,0
Stenaria_nigricans,1,1,0,1,0
Stillingia_sylvatica,0,0,0,1,0
Stylisma_villosa,0,0,0,1,0
Stylosanthes_hamata,0,0,0,1,0
Swietenia_mahagoni,0,0,0,1,0
Symphyotrichum_adnatum,0,0,0,1,0
Symphyotrichum_concolor,0,0,0,1,0
Symphyotrichum_dumosum,0,0,0,1,0
Symphyotrichum_elliottii,0,0,0,1,0
Symphyotrichum_simmondsii,0,0,0,1,0
Syngonium_podophyllum,0,0,1,0,1
Syntherisma_gracillimum,0,0,0,1,0
Tabebuia_aurea,0,0,0,0,1
Tabebuia_heterophylla,0,0,0,0,1
Tecoma_stans,0,0,0,0,1
Tephrosia_angustissima_v._corallicola,1,0,0,1,0
Tephrosia_chrysophylla,0,0,0,1,0
Tephrosia_florida,0,0,0,1,0
Terminalia_catappa,0,0,1,0,1
Tetrazygia_bicolor,0,0,0,1,0
Teucrium_canadense,0,0,0,1,0
Thelypteris_kunthii,0,0,0,1,0
Thrinax_radiata,0,0,0,1,0
Tillandsia_balbisiana,0,0,0,1,0
Tillandsia_faciculata_v_denispicata,0,0,0,1,0
Tillandsia_flexuosa,0,0,0,1,0
Tillandsia_paucifolia,0,0,0,1,0
Tillandsia_recurvata,0,0,0,1,0
Tillandsia_setacea,0,0,0,1,0
Tillandsia_usneoides,0,0,0,1,0
Tillandsia_utriculata,0,0,0,1,0
Tillandsia_variabilis,0,0,0,1,0
Toxicodendron_radicans,0,0,0,1,0
Tradescantia_spathacea,0,0,1,0,1
Tragia_saxifolia,1,1,0,1,0
Tragia_urens,0,0,0,1,0
Trema_lamarckianum,0,0,0,1,0
Trema_micrantha,0,0,0,1,0
Trichostema_dichotomum,0,0,0,1,0
Tridax_procumbens,0,0,0,0,1
Tripsacum_floridanum,0,0,0,1,0
Triumfetta_semitrilobata,0,0,0,0,1
Turnera_ulmifolia,0,0,0,0,1
Urena_lobata,0,0,1,0,1
Vaccinium_myrsinites,0,0,0,1,0
Vachellia_farnesiana_v._pinetorum_A05,0,0,0,1,0
Verbesina_virginica,0,0,0,1,0
Vernonia_blodgetti,0,0,0,1,0
Vigna_luteola,0,0,0,1,0
Vitis_aestivalis,0,0,0,1,0
Vitis_cinerea,0,0,0,1,0
Vitis_rotundifolia,0,0,0,1,0
Vitis_shuttleworthii,0,0,0,1,0
Vittaria_lineata,0,0,0,1,0
Waltheria_indica,0,0,0,1,0
Warea_carteri,0,0,0,1,0
Ximenia_americana,0,0,0,1,0
Youngia_japonica,0,0,0,0,1
Zamia_furfuracea,0,0,0,0,1
Zamia_integrifolia,0,0,0,1,0
Zanthoxylum_fagara,0,0,0,1,0
Zeuxine_strateumatica,0,0,0,0,1
Zornia_bracteata,0,0,0,1,0
